,Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,Date,Site
1515,51,18:48:28,0.7923428,200731.1,-805661.3,1,830290.9,-76.00957,5.913796E-009,2.180138E-005,4,2024-04-24,E10
1516,52,18:48:28,0.6334459,260884.2,-979120,1,1013280,-75.0803,5.916525E-009,2.366212E-005,4,2024-04-24,E10
1517,53,18:48:28,0.5040323,345441.9,-1190085,1,1239207,-73.81376,5.896967E-009,2.540003E-005,4,2024-04-24,E10
1518,54,18:48:28,0.400641,461785.8,-1439294,1,1511560,-72.21159,5.8666E-009,2.328433E-005,4,2024-04-24,E10
1519,55,18:48:28,0.316723,623388.6,-1733535,1,1842216,-70.22115,5.833819E-009,2.363148E-005,4,2024-04-24,E10
1520,56,18:48:28,0.2520161,831157.7,-2058246,1,2219729,-68.01023,5.797791E-009,2.265901E-005,4,2024-04-24,E10
1521,57,18:48:28,0.2003205,1099892,-2414340,1,2653074,-65.50759,5.755368E-009,1.947946E-005,4,2024-04-24,E10
1522,58,18:48:28,0.1588983,1435371,-2805905,1,3151728,-62.90782,5.69518E-009,2.103369E-005,4,2024-04-24,E10
1523,59,18:48:28,0.1260081,1840276,-3216318,1,3705579,-60.22317,5.632213E-009,2.073111E-005,4,2024-04-24,E10
1524,60,18:48:28,0.1001603,2315667,-3637925,1,4312402,-57.52181,5.570524E-009,2.089033E-005,4,2024-04-24,E10
1525,0,19:00:49,100078.1,1264.41,-616.1116,1,1406.53,-25.97867,1.536949E-008,-1.063988E-005,7,2024-04-24,E11
1526,1,19:00:49,79453.13,1339.735,-699.2385,1,1511.233,-27.56109,1.38318E-008,-1.391333E-005,7,2024-04-24,E11
1527,2,19:00:49,63140.62,1429.169,-791.6444,1,1633.776,-28.98292,1.521009E-008,-1.71321E-005,7,2024-04-24,E11
1528,3,19:00:49,50203.12,1534.324,-892.5189,1,1775.033,-30.18663,1.247068E-008,-1.596956E-005,7,2024-04-24,E11
1529,4,19:00:49,39890.62,1656.687,-1001.388,1,1935.818,-31.15097,1.458038E-008,-1.467184E-005,7,2024-04-24,E11
1530,5,19:00:49,31640.63,1799.496,-1118.195,1,2118.619,-31.85653,1.341467E-008,-1.502429E-005,7,2024-04-24,E11
1531,6,19:00:49,25171.88,1961.343,-1238.597,1,2319.695,-32.27259,1.456801E-008,-1.421173E-005,7,2024-04-24,E11
1532,7,19:00:49,20015.62,2147.169,-1364.192,1,2543.886,-32.4296,1.462427E-008,-1.326019E-005,7,2024-04-24,E11
1533,8,19:00:49,15890.62,2358.974,-1492.372,1,2791.403,-32.31892,1.411877E-008,-1.679223E-005,7,2024-04-24,E11
1534,9,19:00:49,12609.38,2589.117,-1616.944,1,3052.546,-31.98542,1.508232E-008,-1.689699E-005,7,2024-04-24,E11
1535,10,19:00:49,10078.13,2834.546,-1731.415,1,3321.513,-31.41767,1.37531E-008,-1.929692E-005,7,2024-04-24,E11
1536,11,19:00:49,8015.625,3100.915,-1843.968,1,3607.754,-30.73796,1.273391E-008,-1.216411E-005,7,2024-04-24,E11
1537,12,19:00:49,6328.125,3396.951,-1935.659,1,3909.738,-29.67547,2.677064E-009,-1.224727E-005,6,2024-04-24,E11
1538,13,19:00:49,5015.625,3681.517,-2039.573,1,4208.732,-28.9866,1.992745E-009,-1.214394E-005,6,2024-04-24,E11
1539,14,19:00:49,3984.375,3963.255,-2145.477,1,4506.713,-28.42855,2.991472E-009,-1.036811E-005,6,2024-04-24,E11
1540,15,19:00:49,3170.956,4241.74,-2259.569,1,4806.039,-28.04416,2.214191E-009,-1.877048E-005,6,2024-04-24,E11
1541,16,19:00:49,2527.573,4514.441,-2390.8,1,5108.434,-27.90522,2.80129E-009,-1.331113E-005,6,2024-04-24,E11
1542,17,19:00:49,1976.103,4808.462,-2565.905,1,5450.246,-28.0854,2.775197E-009,-1.368691E-005,6,2024-04-24,E11
1543,18,19:00:49,1577.524,5077.554,-2768.698,1,5783.359,-28.60284,1.654419E-009,-1.150173E-005,6,2024-04-24,E11
1544,19,19:00:49,1265.625,5344.085,-3014.584,1,6135.712,-29.42723,2.709566E-009,-1.35197E-005,6,2024-04-24,E11
1545,20,19:00:49,998.264,5642.479,-3348.813,1,6561.411,-30.68915,2.838376E-009,-1.483446E-005,6,2024-04-24,E11
1546,21,19:00:49,796.875,5941.064,-3736.375,1,7018.315,-32.16607,2.372022E-009,-1.410948E-005,6,2024-04-24,E11
1547,22,19:00:49,627.7902,6280.758,-4248.604,1,7582.78,-34.07629,2.451867E-009,-1.304017E-005,6,2024-04-24,E11
1548,23,19:00:49,505.5147,6619.069,-4808.721,1,8181.435,-35.99822,1.765214E-009,-1.474903E-005,6,2024-04-24,E11
1549,24,19:00:49,397.9953,7028.063,-5564.645,1,8964.315,-38.3713,1.754353E-009,-1.856859E-005,6,2024-04-24,E11
1550,25,19:00:49,315.5048,7469.263,-6459.205,1,9874.78,-40.85231,1.769128E-009,-1.862626E-005,6,2024-04-24,E11
1551,26,19:00:49,252.4038,7942.673,-7495.967,1,10921.34,-43.34265,1.812274E-009,-1.888817E-005,6,2024-04-24,E11
1552,27,19:00:49,198.6229,8514.437,-8842.771,1,12275.59,-46.08369,1.837896E-009,-1.928358E-005,6,2024-04-24,E11
1553,28,19:00:49,158.3615,9120.884,-10382.83,1,13820.04,-48.70203,1.882062E-009,-1.192733E-005,6,2024-04-24,E11
1554,29,19:00:49,125.558,9821.61,-12289.99,1,15732.38,-51.3697,1.82797E-009,-1.716417E-005,6,2024-04-24,E11
1555,30,19:00:49,100.4464,10577.18,-14507.3,1,17953.79,-53.90446,1.870899E-009,-1.626334E-005,6,2024-04-24,E11
1556,31,19:00:49,79.00281,11492.71,-17407.75,1,20859.34,-56.56694,1.883177E-009,-1.201619E-005,6,2024-04-24,E11
1557,32,19:00:49,63.3446,12442.12,-20651.15,1,24109.67,-58.93145,1.972877E-009,-1.246189E-005,6,2024-04-24,E11
1558,33,19:00:49,49.86702,13608.93,-24949.07,1,28419.34,-61.38893,1.9706E-009,-9.63355E-006,6,2024-04-24,E11
1559,34,19:00:49,39.72458,14841.89,-29954.79,1,33430.09,-63.64267,1.90879E-009,-1.267718E-005,6,2024-04-24,E11
1560,35,19:00:49,31.6723,16231.06,-36062.25,1,39546.59,-65.76823,1.968877E-009,-1.270825E-005,6,2024-04-24,E11
1561,36,19:00:49,24.93351,17900.78,-44013.34,1,47514.33,-67.8678,9.543752E-010,-1.914869E-005,5,2024-04-24,E11
1562,37,19:00:49,19.86229,19654.38,-53326.77,1,56833.43,-69.76788,4.17282E-010,5.161848E-005,5,2024-04-24,E11
1563,38,19:00:49,15.83615,21831.9,-64841.57,1,68418.28,-71.39183,4.857273E-010,5.138116E-005,5,2024-04-24,E11
1564,39,19:00:49,12.40079,24713.65,-80353.7,1,84068.31,-72.90415,5.408352E-010,5.237787E-005,5,2024-04-24,E11
1565,40,19:00:49,9.93114,28061.56,-97824.8,1,101770,-73.99418,6.447071E-010,5.041005E-005,5,2024-04-24,E11
1566,41,19:00:49,7.944915,32321.81,-119338.6,1,123638.2,-74.84551,6.629869E-010,4.916624E-005,5,2024-04-24,E11
